Date,Department,Category,Region,Budget Amount,Actual Amount,Payment Method,Transaction ID,Variance,Variance %
2023-05-11 00:00:00,Sales,Travel,North,126096,43048,Card,TXN100000,-83048,-65.86
2023-11-11 00:00:00,Marketing,Salaries,East,19702,87896,Bank Transfer,TXN100001,68194,346.13
2021-05-02 00:00:00,IT,Training,Central,108523,103632,Card,TXN100002,-4891,-4.51
2022-04-12 00:00:00,Marketing,Salaries,North,114711,105574,Cash,TXN100003,-9137,-7.97
2021-11-27 00:00:00,Sales,Utilities,Central,121895,64314,UPI,TXN100004,-57581,-47.24
2021-03-29 00:00:00,Finance,Marketing,East,37762,77044,Bank Transfer,TXN100005,39282,104.03
2023-05-22 00:00:00,IT,Marketing,West,144311,69127,UPI,TXN100006,-75184,-52.10
2021-05-11 00:00:00,HR,Marketing,Central,22567,53015,Cash,TXN100007,30448,134.92
2023-02-09 00:00:00,IT,Infrastructure,West,95737,58734,UPI,TXN100008,-37003,-38.65
2021-12-10 00:00:00,IT,Salaries,East,16857,153432,Cash,TXN100009,136575,810.20
2023-03-17 00:00:00,IT,Utilities,East,75603,73056,Bank Transfer,TXN100010,-2547,-3.37
2022-01-21 00:00:00,Finance,Utilities,Central,85399,109122,Cash,TXN100011,23723,27.78
2023-08-14 00:00:00,Sales,Marketing,Central,68086,70502,Bank Transfer,TXN100012,2416,3.55
2021-10-04 00:00:00,HR,Training,East,99145,51102,UPI,TXN100013,-48043,-48.46
2022-04-05 00:00:00,Sales,Infrastructure,Central,42270,148677,Cash,TXN100014,106407,251.73
2021-01-22 00:00:00,Marketing,Infrastructure,Central,130071,79899,Card,TXN100015,-50172,-38.57
2021-09-10 00:00:00,Marketing,Marketing,Central,12012,99017,Card,TXN100016,87005,724.32
2023-01-18 00:00:00,Marketing,Marketing,Central,69049,120109,Card,TXN100017,51060,73.95
2023-05-07 00:00:00,Sales,Salaries,North,94989,30133,Bank Transfer,TXN100018,-64856,-68.28
2022-04-20 00:00:00,Operations,Training,East,99586,30720,Cash,TXN100019,-68866,-69.15
2023-12-19 00:00:00,Finance,Infrastructure,East,49080,167039,Card,TXN100020,117959,240.34
2022-05-26 00:00:00,Operations,Utilities,South,66879,149486,Bank Transfer,TXN100021,82607,123.52
2022-12-01 00:00:00,Marketing,Marketing,West,75888,11379,Card,TXN100022,-64509,-85.01
2023-09-03 00:00:00,Finance,Salaries,South,125951,142223,UPI,TXN100023,16272,12.92
2021-07-09 00:00:00,Sales,Utilities,Central,47146,62758,UPI,TXN100024,15612,33.11
